Name,Team,Sport,num_medals
"Michael Fred Phelps, II","United States",Swimming,28
"Larysa Semenivna Latynina (Diriy-)","Soviet Union",Gymnastics,18
"Nikolay Yefimovich Andrianov","Soviet Union",Gymnastics,15
"Ole Einar Bjrndalen",Norway,Biathlon,13
"Edoardo Mangiarotti",Italy,Fencing,13
"Takashi Ono",Japan,Gymnastics,13
"Borys Anfiyanovych Shakhlin","Soviet Union",Gymnastics,13
"Jennifer Elisabeth "Jenny"" Thompson (-Cumpelik)"","United States",Swimming,12
"Dara Grace Torres (-Hoffman, -Minas)","United States",Swimming,12
"Natalie Anne Coughlin (-Hall)","United States",Swimming,12
"Sawao Kato",Japan,Gymnastics,12
"Aleksey Yuryevich Nemov",Russia,Gymnastics,12
"Paavo Johannes Nurmi",Finland,Athletics,12
"Ryan Steven Lochte","United States",Swimming,12
"Vra slavsk (-Odloilov)",Czechoslovakia,Gymnastics,11
"Viktor Ivanovych Chukarin","Soviet Union",Gymnastics,11
"Matthew Nicholas "Matt"" Biondi"","United States",Swimming,11
"Mark Andrew Spitz","United States",Swimming,11
"Carl Townsend Osburn","United States",Shooting,11
"Akinori Nakayama",Japan,Gymnastics,10
"Polina Hryhorivna Astakhova","Soviet Union",Gymnastics,10
"Stefania Belmondo",Italy,"Cross Country Skiing",10
"Marit Bjrgen",Norway,"Cross Country Skiing",10
"Frederick Carlton "Carl"" Lewis"","United States",Athletics,10
"Yang Yang",China,"Short Track Speed Skating",10
"Aleksandr Nikolayevich Dityatin","Soviet Union",Gymnastics,10
"Raymond Clarence "Ray"" Ewry"","United States",Athletics,10
"Franziska van Almsick",Germany,Swimming,10
"Gerard Theodor Hubert Van Innis",Belgium,Archery,10
"Aladr Gerevich (-Gerei)",Hungary,Fencing,10
"Gary Wayne Hall, Jr.","United States",Swimming,10
"gnes Keleti-Srkny (Klein)",Hungary,Gymnastics,10
"Edy Sixten Jernberg",Sweden,"Cross Country Skiing",9
"Leisel Marie Jones",Australia,Swimming,9
"Eizo Kenmotsu",Japan,Gymnastics,9
"Isabelle Regina Werth",Germany,Equestrianism,9
"Shirley Frances Babashoff","United States",Swimming,9
"Heikki Ilmari Savolainen",Finland,Gymnastics,9
"Martin Joseph Sheridan","United States",Athletics,9
"Raisa Petrovna Smetanina","Soviet Union","Cross Country Skiing",9
"Merlene Joyce Ottey-Page",Jamaica,Athletics,9
"Claudia Pechstein",Germany,"Speed Skating",9
"Allyson Michelle Felix","United States",Athletics,9
"Giulio Gaudini",Italy,Fencing,9
"Nadia Elena Comneci (-Conner)",Romania,Gymnastics,9
"Ursula "Uschi"" Disl"",Germany,Biathlon,9
"Alfred Gomer Albert "Alf"" Swahn"",Sweden,Shooting,9
"Ian James Thorpe",Australia,Swimming,9
"Yury Yevlampiyevich Titov","Soviet Union",Gymnastics,9
"Mitsuo Tsukahara",Japan,Gymnastics,9
"Lyudmila Ivanovna Turishcheva (-Borzova)","Soviet Union",Gymnastics,9
"Maria Valentina Vezzali",Italy,Fencing,9
"Zoltn Imre dn von Halmay",Hungary,Swimming,9
"Mikhail Yakovlevich Voronin","Soviet Union",Gymnastics,9
"Henry Taylor","Great Britain",Swimming,8
"Petria Ann Thomas (-Jones)",Australia,Swimming,8
"Giovanna Trillini",Italy,Fencing,8
"Theodora Elisabeth Gerarda "Anky"" van Grunsven"",Netherlands,Equestrianism,8
"Viljo Eino "Ville"" Ritola (Koukkari-)"",Finland,Athletics,8
"Allison Rodgers Schmitt","United States",Swimming,8
"Donald Arthur "Don"" Schollander"","United States",Swimming,8
"Kjetil Andr Aamodt",Norway,"Alpine Skiing",8
"Nathan Ghar-Jun Adrian","United States",Swimming,8
"Usain St. Leo Bolt",Jamaica,Athletics,8
"Margit Korondi (Kronstein-, -Plachy, -Szalay)",Hungary,Gymnastics,8
"Katalin Kovcs",Hungary,Canoeing,8
"Bradley Marc Wiggins","Great Britain",Cycling,8
"Irene Karlijn "Ireen"" Wst"",Netherlands,"Speed Skating",8
"Galina Alekseyevna Kulakova","Soviet Union","Cross Country Skiing",8
"Jason Edward Lezak","United States",Swimming,8
"Eugen Mack",Switzerland,Gymnastics,8
"Roland Matthes","East Germany",Swimming,8
"Georg "Georges"" Miez"",Switzerland,Gymnastics,8
"Veronica Angella Campbell-Brown",Jamaica,Athletics,8
"Gustaf Vilhelm Carlberg",Sweden,Shooting,8
"Philippe Louis Eugne Cattiau",France,Fencing,8
"Inge de Bruijn",Netherlands,Swimming,8
"Roger Franois Ducret",France,Fencing,8
"Kornelia Ender (-Matthes, -Grummt)","East Germany",Swimming,8
"Karin Enke-Kania (-Busch-, -Richter)","East Germany","Speed Skating",8
"Sofiya Ivanovna Muratova (Poduzdova-)","Soviet Union",Gymnastics,8
"Gunda Niemann-Stirnemann-Kleemann",Germany,"Speed Skating",8
"Apolo Anton Ohno","United States","Short Track Speed Skating",8
"Elisabeta Oleniuc-Lip",Romania,Rowing,8
"Otto Martin Olsen",Norway,Shooting,8
"Susan "Susie"" O'Neill"",Australia,Swimming,8
"Sven Fischer",Germany,Biathlon,8
"Birgit Fischer-Schmidt",Germany,Canoeing,8
"Dawn Lorraine Fraser",Australia,Swimming,8
"Gert Fridolf Fredriksson",Sweden,Canoeing,8
"Ricco Gro",Germany,Biathlon,8
"Felix Gottwald",Austria,"Nordic Combined",7
"Grant George Hackett",Australia,Swimming,7
"Veikko Johannes Hakulinen",Finland,"Cross Country Skiing",7
"Dagmar Hase",Germany,Swimming,7
"Albert Helgerud (Thorvaldsen-)",Norway,Shooting,7
"Katarina "Kati"" Wilhelm"",Germany,Biathlon,7
"Wu Minxia",China,Diving,7
"Simona Amnar (-Tabr)",Romania,Gymnastics,7
"Agneta Monica Andersson",Sweden,Canoeing,7
"Ivar Eugen Ballangrud (Eriksen-)",Norway,"Speed Skating",7
"Amanda Ray Beard (-Brown)","United States",Swimming,7
"Lloyd Spencer Spooner","United States",Shooting,7
"Josef "Sepp"" Stalder"",Switzerland,Gymnastics,7
"Shirley Barbara Strickland de la Hunty",Australia,Athletics,7
"Irena Szewiska-Kirszenstein",Poland,Athletics,7
"Masao Takemoto",Japan,Gymnastics,7
"Arnold Clas Robert Thunberg",Finland,"Speed Skating",7
"Kohei Uchimura",Japan,Gymnastics,7
"Pieter Cornelis Martijn van den Hoogenband",Netherlands,Swimming,7
"Dana Whitney Vollmer (-Grant)","United States",Swimming,7
"Ildik Rejt-Ujlaky-Sgi",Hungary,Fencing,7
"Dmitry Ivanovich Sautin",Russia,Diving,7
"Mariya Kindrativna Horokhovska","Soviet Union",Gymnastics,7
"Christopher Andrew "Chris"" Hoy"","Great Britain",Cycling,7
"Thomas Michael "Tom"" Jager"","United States",Swimming,7
"Karin Janz (-Bttner)","East Germany",Gymnastics,7
"Jason Francis Kenny","Great Britain",Cycling,7
"Svetlana Vasilyevna Khorkina",Russia,Gymnastics,7
"Marja-Liisa Kirvesniemi-Hmlinen",Finland,"Cross Country Skiing",7
"Kosuke Kitajima",Japan,Swimming,7
"Reiner Klimke","West Germany",Equestrianism,7
"Pl dm Kovcs",Hungary,Fencing,7
"Sven Kramer",Netherlands,"Speed Skating",7
"Shannon Lee Miller (-Phillips, -Falconetti)","United States",Gymnastics,7
"Lon Ernest Moreaux",France,Shooting,7
"Aliya Farkhatovna Mustafina",Russia,Gymnastics,7
"Ivan Patzaichin",Romania,Canoeing,7
"Aaron Wells Peirsol","United States",Swimming,7
"Pavel Serafimovich Lednyov","Soviet Union","Modern Pentathlon",7
"Willis Augustus Lee, Jr.","United States",Shooting,7
"Lisbeth Constance "Libby"" Lenton-Trickett"",Australia,Swimming,7
"Einar Liberg",Norway,Shooting,7
"Eero Antero Mntyranta",Finland,"Cross Country Skiing",7
"Gustavo Marzi",Italy,Fencing,7
"Kirsty Leigh Coventry (-Seward)",Zimbabwe,Swimming,7
"Charles Meldrum "Charlie"" Daniels"","United States",Swimming,7
"Manuela Di Centa",Italy,"Cross Country Skiing",7
"Krisztina Egerszegi",Hungary,Swimming,7
"Andrea Ehrig-Schne-Mitscherlich","East Germany","Speed Skating",7
"Yukio Endo",Japan,Gymnastics,7
"Yuliya Anatolyevna Chepalova",Russia,"Cross Country Skiing",6
"Veronica Cogeanu-Cochela",Romania,Rowing,6
"Lszl Cseh, Jr.",Hungary,Swimming,6
"Georgeta Damian-Andrunache",Romania,Rowing,6
"Giuseppe Delfino",Italy,Fencing,6
"Piero D'Inzeo",Italy,Equestrianism,6
"Raimondo D'Inzeo",Italy,Equestrianism,6
"Tirunesh Dibaba Keneni",Ethiopia,Athletics,6
"Christian Marie Auguste d'Oriola",France,Fencing,6
"Natasa Douchev-Janics",Hungary,Canoeing,6
"Burton Cecil Downing","United States",Cycling,6
"George Louis Eyser","United States",Gymnastics,6
"Alexandra Rose "Aly"" Raisman"","United States",Gymnastics,6
"Stephen Geoffrey "Steven"" Redgrave"","Great Britain",Rowing,6
"Daniel Jean Claude Ernest Revenu",France,Fencing,6
"Kimberly Susan "Kim"" Rhode (-Harryman)"","United States",Shooting,6
"Philippe Claude Riboud",France,Fencing,6
"Louis Marcel Richardet",Switzerland,Shooting,6
"Robert Rintje Ritsma",Netherlands,"Speed Skating",6
"Iain Murray Rose",Australia,Swimming,6
"Ralph Waldo Rose","United States",Athletics,6
"Karl Alfred Markus Schwarzmann",Germany,Gymnastics,6
"Vitaly Venediktovich Shcherbo","Unified Team",Gymnastics,6
"Viktor Aleksandrovich Sidyak","Soviet Union",Fencing,6
"Viorica Daniela Siliva (-Harper)",Romania,Gymnastics,6
"Lidiya Pavlovna Skoblikova (-Polozkova)","Soviet Union","Speed Skating",6
"Thomas Alsgaard (Alsgrd-)",Norway,"Cross Country Skiing",6
"Bonnie Kathleen Blair (-Cruikshank)","United States","Speed Skating",6
"Georges Eugne William "Go"" Buchard"",France,Fencing,6
"Melissa Jeanette "Missy"" Franklin"","United States",Swimming,6
"Shelly-Ann Fraser-Pryce",Jamaica,Athletics,6
"Konrad Frey",Germany,Gymnastics,6
"Robert "Bob"" Garrett"","United States",Athletics,6
"Lucien Alphonse Paul Gaudin",France,Fencing,6
"Matthew "Matt"" Grevers"","United States",Swimming,6
"Michael Gro","West Germany",Swimming,6
"Guo Jingjing",China,Diving,6
"Halvard Hanevold",Norway,Biathlon,6
"Brendan Joseph Hansen","United States",Swimming,6
"Rdiger Helm","East Germany",Canoeing,6
"John Frederick Hencken","United States",Swimming,6
"Katrin Wagner-Augustin",Germany,Canoeing,6
"Wang Meng",China,"Short Track Speed Skating",6
"Wang Yifu",China,Shooting,6
"Hermann Otto Ludwig Weingrtner",Germany,Gymnastics,6
"Leontine Martha Henrica Petronella "Leontien"" Zijlaard-van Moorsel"",Netherlands,Cycling,6
"Armin Zggeler",Italy,Luge,6
"Zou Kai",China,Gymnastics,6
"Rebecca Soni","United States",Swimming,6
"Konrad Stheli",Switzerland,Shooting,6
"Renate Stecher (Meiner-)","East Germany",Athletics,6
"Leon tukelj",Yugoslavia,Gymnastics,6
"Sun Yang",China,Swimming,6
"Gunde Anders Svan",Sweden,"Cross Country Skiing",6
"Oscar Gomer Swahn",Sweden,Shooting,6
"Olga Tass-Lemhnyi (Todenbier-)",Hungary,Gymnastics,6
"Mark James Todd","New Zealand",Equestrianism,6
"Shuji Tsurumi",Japan,Gymnastics,6
"Vegard Ulvang",Norway,"Cross Country Skiing",6
"Amy Deloris Van Dyken (-Rouen)","United States",Swimming,6
"Johan Hbner von Holst",Sweden,Shooting,6
"Gyz Kulcsr",Hungary,Fencing,6
"Claudia Knzel-Nystad",Germany,"Cross Country Skiing",6
"Alfred Page "Al"" Lane"","United States",Shooting,6
"Roald Morel Larsen",Norway,"Speed Skating",6
"Larisa Yevgenyevna Lazutina (Ptitsyna-)",Russia,"Cross Country Skiing",6
"Maurice Marie Lecoq",France,Shooting,6
"Kathleen Genevieve "Katie"" Ledecky"","United States",Swimming,6
"Eric Otto Valdemar Lemming",Sweden,Athletics,6
"Li Ning",China,Gymnastics,6
"Li Xiaoshuang",China,Gymnastics,6
"Ole Andreas Lilloe-Olsen",Norway,Shooting,6
"Tamara Ivanovna Manina","Soviet Union",Gymnastics,6
"Anna Maree Devenish Meares",Australia,Cycling,6
"Knut Holmann",Norway,Canoeing,6
"Doina Ignat",Romania,Rowing,6
"Jin Jong-O","South Korea",Shooting,6
"Jacqueline "Jackie"" Joyner-Kersee"","United States",Athletics,6
"Rudolf Krpti",Hungary,Fencing,6
"Nellya Vladimirovna "Nelli"" Kim (-Achasov)"","Soviet Union",Gymnastics,6
"Kim Su-Nyeong","South Korea",Archery,6
"Harri Tapani Kirvesniemi",Finland,"Cross Country Skiing",6
"Cynthia Nicole "Cindy"" Klassen"",Canada,"Speed Skating",6
"Michael George Klim",Australia,Swimming,6
"Rita Kbn",Hungary,Canoeing,6
"Olga Valentinovna Korbut (-Bortkevich, -Voynich)","Soviet Union",Gymnastics,6
"Janica Kosteli",Croatia,"Alpine Skiing",6
"Danuta Kozk",Hungary,Canoeing,6
"Samuel Bode Miller","United States","Alpine Skiing",6
"Lavinia Corina Miloovici",Romania,Gymnastics,6
"Aldo Montano",Italy,Fencing,6
"Mika Kristian Myllyl",Finland,"Cross Country Skiing",6
"Nedo Nadi",Italy,Fencing,6
"Vladimir Aliverovich Nazlymov","Soviet Union",Fencing,6
"Kateina Neumannov","Czech Republic","Cross Country Skiing",6
"Yelena Dmitriyevna Novikova-Belova","Soviet Union",Fencing,6
"Johan Arne Olsson",Sweden,"Cross Country Skiing",6
"Kristin Otto","East Germany",Swimming,6
"Anja Sofia Tess Prson",Sweden,"Alpine Skiing",6
"John Michael Plumb","United States",Equestrianism,6
"Andrea Pollack (-Pinske)","East Germany",Swimming,6
"Hryhoriy Anatoliyovych Misiutin","Unified Team",Gymnastics,5
"Anita Moen-Guidon (-Moen Bonden)",Norway,"Cross Country Skiing",5
"Pedro Pablo Morales, Jr.","United States",Swimming,5
"Daniel Yves Morelon",France,Cycling,5
"Valentin Ivanovich Muratov","Soviet Union",Gymnastics,5
"Bogdan Musiol","East Germany-1",Bobsleigh,5
"John Phillips Naber","United States",Swimming,5
"Harald Natvig",Norway,Shooting,5
"Christian Nol",France,Fencing,5
"Lawrence Adam "Larry"" Nuesslein"","United States",Shooting,5
"Matti Ensio Nyknen (-Paanala)",Finland,"Ski Jumping",5
"Jon C. Olsen","United States",Swimming,5
"sten stensen",Norway,Shooting,5
"Charles Ferdinand Pahud de Mortanges",Netherlands,Equestrianism,5
"Yuliya Vladimirovna Pakhalina",Russia,Diving,5
"Park Seung-Hui","South Korea","Short Track Speed Skating",5
"Nicolas Achille Paroche",France,Shooting,5
"Gabriella Paruzzi",Italy,"Cross Country Skiing",5
"Jerzy Wadysaw Pawowski",Poland,Fencing,5
"Constana Pipot-Burcic",Romania,Rowing,5
"Ctlina Ponor",Romania,Gymnastics,5
"Aleksandr Vladimirovich Popov",Russia,Swimming,5
"Wang Hao",China,"Table Tennis",5
"Peter Johann "Johnny"" Weissmuller"","United States",Swimming,5
"Malvin Groston "Mal"" Whitfield"","United States",Athletics,5
"Max Antony Whitlock","Great Britain",Gymnastics,5
"Hayley Marie Wickenheiser",Canada,"Ice Hockey",5
"Emil Edvin Wide (Hermansson-)",Sweden,Athletics,5
"Xiong Ni",China,Diving,5
"Tsuyoshi Yamanaka",Japan,Swimming,5
"Yang Wei",China,Gymnastics,5
"Lyubov Ivanovna Yegorova","Unified Team","Cross Country Skiing",5
"Giorgio Zampori",Italy,Gymnastics,5
"Emil Ztopek",Czechoslovakia,Athletics,5
"Nikolay Semyonovich Zimyatov","Soviet Union","Cross Country Skiing",5
"Erika Zuchold (Barth-)","East Germany",Gymnastics,5
"Paavo Johannes Aaltonen",Finland,Gymnastics,5
"Denis Mikhaylovich Ablyazin",Russia,Gymnastics,5
"Charles Benedict "Ben"" Ainslie"","Great Britain",Sailing,5
"Albina Khamitovna Akhatova",Russia,Biathlon,5
"Marco Albarello",Italy,"Cross Country Skiing",5
"Peter Angerer","West Germany",Biathlon,5
"Paul Eugne Albert Anspach",Belgium,Fencing,5
"Vladimir Nikolayevich Artyomov","Soviet Union",Gymnastics,5
"Evelyn Ashford (-Washington)","United States",Athletics,5
"Andrs Balcz",Hungary,"Modern Pentathlon",5
"Irving Knott "Irv"" Baxter"","United States",Athletics,5
"Tibor Berczelly (Berczeller-)",Hungary,Fencing,5
"Jack Beresford","Great Britain",Rowing,5
"Simone Arianne Biles","United States",Gymnastics,5
"Claes Arne Borg",Sweden,Swimming,5
"Kathrin Boron (-Kppen)",Germany,Rowing,5
"Valeriy Pylypovych Borzov","Soviet Union",Athletics,5
"G. Alberto Braglia",Italy,Gymnastics,5
"Roland Brckner","East Germany",Gymnastics,5
"Julien Louis Brul",France,Archery,5
"Antje Buschschulte (-Meeuw)",Germany,Swimming,5
"David Cal Figueroa",Spain,Canoeing,5
"Cate Natalie Campbell",Australia,Swimming,5
"Gustaf Eric Carlberg",Sweden,Shooting,5
"Henri Chammartin",Switzerland,Equestrianism,5
"Andrew Murray "Boy"" Charlton"",Australia,Swimming,5
"Chen Ruolin",China,Diving,5
"Stephen Edward "Steve"" Clark"","United States",Swimming,5
"Giancarlo Cornaggia-Medici Peterbelli",Italy,Fencing,5
"Alicia Jayne Coutts",Australia,Swimming,5
"Ian Lowell Crocker","United States",Swimming,5
"Joshua Clark "Josh"" Davis"","United States",Swimming,5
"Anastasiya Semyonovna Davydova",Russia,"Synchronized Swimming",5
"Adrianus Egbert Willem "Arie"" de Jong"",Netherlands,Fencing,5
"Manlio Di Rosa",Italy,Fencing,5
"Klaus Dibiasi",Italy,Diving,5
"Ines Diers (-Noack)","East Germany",Swimming,5
"Andreas Dittmer",Germany,Canoeing,5
"Eskild Balschmidt Ebbesen",Denmark,Rowing,5
"Philip Aron "Phil"" Edwards"",Canada,Athletics,5
"Teresa Edwards","United States",Basketball,5
"Brittany Joyce Elmslie",Australia,Swimming,5
"Axel Mauritz Eriksson",Sweden,Shooting,5
"Janet Beth Evans","United States",Swimming,5
"Meyer Prinstein","United States",Athletics,5
"Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova)","Soviet Union",Swimming,5
"Oreste Puliti",Italy,Fencing,5
"Qin Kai",China,Diving,5
"Mary Lou Retton (-Kelley)","United States",Gymnastics,5
"Michael Reusch",Switzerland,Gymnastics,5
"Sanya Richards-Ross","United States",Athletics,5
"Aleksandr Anatolyevich Romankov","Soviet Union",Fencing,5
"Svetlana Alekseyevna Romashina",Russia,"Synchronized Swimming",5
"Antonio Rossi",Italy,Canoeing,5
"Aino-Kaisa Saarinen",Finland,"Cross Country Skiing",5
"Martina Sblkov","Czech Republic","Speed Skating",5
"Evi Sachenbacher-Stehle",Germany,"Cross Country Skiing",5
"Robert Scheidt",Brazil,Sailing,5
"Melanie Rene "Mel"" Schlanger (-Wright)"",Australia,Swimming,5
"Verena "Vreni"" Schneider"",Switzerland,"Alpine Skiing",5
"Emily Jane Seebohm",Australia,Swimming,5
"Katja Seizinger (-Weber)",Germany,"Alpine Skiing",5
"Melvin Winfield "Mel"" Sheppard"","United States",Athletics,5
"Bente Skari-Martinsen",Norway,"Cross Country Skiing",5
"Silvio Fauner",Italy,"Cross Country Skiing",5
"Dennis Fenton","United States",Shooting,5
"Ian Gordon Ferguson","New Zealand",Canoeing,5
"Jens Fiedler",Germany,Cycling,5
"Gustav Fischer",Switzerland,Equestrianism,5
"Morris "Bud"" Fisher"","United States",Shooting,5
"Laura lodie Flessel-Colovic",France,Fencing,5
