Name,Team,Sport,num_medals,Gold_Medals,Silver_Medals,Bronze_Medals
"Michael Fred Phelps  II","United States",Swimming,28,23,3,2
"Larysa Semenivna Latynina (Diriy-)","Soviet Union",Gymnastics,18,9,5,4
"Nikolay Yefimovich Andrianov","Soviet Union",Gymnastics,15,7,5,3
"Ole Einar Bjrndalen",Norway,Biathlon,13,8,4,1
"Takashi Ono",Japan,Gymnastics,13,5,4,4
"Borys Anfiyanovych Shakhlin","Soviet Union",Gymnastics,13,7,4,2
"Edoardo Mangiarotti",Italy,Fencing,13,6,5,2
"Aleksey Yuryevich Nemov",Russia,Gymnastics,12,4,2,6
"Paavo Johannes Nurmi",Finland,Athletics,12,9,3,0
"Sawao Kato",Japan,Gymnastics,12,8,3,1
"Jennifer Elisabeth "Jenny"" Thompson (-Cumpelik)"","United States",Swimming,12,8,3,1
"Dara Grace Torres (-Hoffman  -Minas)","United States",Swimming,12,4,4,4
"Natalie Anne Coughlin (-Hall)","United States",Swimming,12,3,4,5
"Ryan Steven Lochte","United States",Swimming,12,6,3,3
"Mark Andrew Spitz","United States",Swimming,11,9,1,1
"Matthew Nicholas "Matt"" Biondi"","United States",Swimming,11,8,2,1
"Carl Townsend Osburn","United States",Shooting,11,5,4,2
"Vra slavsk (-Odloilov)",Czechoslovakia,Gymnastics,11,7,4,0
"Viktor Ivanovych Chukarin","Soviet Union",Gymnastics,11,7,3,1
"Polina Hryhorivna Astakhova","Soviet Union",Gymnastics,10,5,2,3
"Stefania Belmondo",Italy,"Cross Country Skiing",10,2,3,5
"Marit Bjrgen",Norway,"Cross Country Skiing",10,6,3,1
"Frederick Carlton "Carl"" Lewis"","United States",Athletics,10,9,1,0
"Aladr Gerevich (-Gerei)",Hungary,Fencing,10,7,1,2
"Gary Wayne Hall  Jr.","United States",Swimming,10,5,3,2
"Akinori Nakayama",Japan,Gymnastics,10,6,2,2
"gnes Keleti-Srkny (Klein)",Hungary,Gymnastics,10,5,3,2
"Franziska van Almsick",Germany,Swimming,10,0,4,6
"Gerard Theodor Hubert Van Innis",Belgium,Archery,10,6,4,0
"Yang Yang",China,"Short Track Speed Skating",10,2,6,2
"Aleksandr Nikolayevich Dityatin","Soviet Union",Gymnastics,10,3,6,1
"Raymond Clarence "Ray"" Ewry"","United States",Athletics,10,10,0,0
"Ursula "Uschi"" Disl"",Germany,Biathlon,9,2,4,3
"Allyson Michelle Felix","United States",Athletics,9,6,3,0
"Giulio Gaudini",Italy,Fencing,9,3,4,2
"Edy Sixten Jernberg",Sweden,"Cross Country Skiing",9,4,3,2
"Leisel Marie Jones",Australia,Swimming,9,3,5,1
"Eizo Kenmotsu",Japan,Gymnastics,9,3,3,3
"Nadia Elena Comneci (-Conner)",Romania,Gymnastics,9,5,3,1
"Shirley Frances Babashoff","United States",Swimming,9,3,6,0
"Raisa Petrovna Smetanina","Soviet Union","Cross Country Skiing",9,3,5,1
"Alfred Gomer Albert "Alf"" Swahn"",Sweden,Shooting,9,3,3,3
"Ian James Thorpe",Australia,Swimming,9,5,3,1
"Yury Yevlampiyevich Titov","Soviet Union",Gymnastics,9,1,5,3
"Mitsuo Tsukahara",Japan,Gymnastics,9,5,1,3
"Lyudmila Ivanovna Turishcheva (-Borzova)","Soviet Union",Gymnastics,9,4,3,2
"Maria Valentina Vezzali",Italy,Fencing,9,6,1,2
"Zoltn Imre dn von Halmay",Hungary,Swimming,9,3,5,1
"Mikhail Yakovlevich Voronin","Soviet Union",Gymnastics,9,2,6,1
"Isabelle Regina Werth",Germany,Equestrianism,9,5,4,0
"Merlene Joyce Ottey-Page",Jamaica,Athletics,9,0,3,6
"Claudia Pechstein",Germany,"Speed Skating",9,5,2,2
"Heikki Ilmari Savolainen",Finland,Gymnastics,9,2,1,6
"Martin Joseph Sheridan","United States",Athletics,9,5,3,1
"Viljo Eino "Ville"" Ritola (Koukkari-)"",Finland,Athletics,8,5,3,0
"Allison Rodgers Schmitt","United States",Swimming,8,4,2,2
"Donald Arthur "Don"" Schollander"","United States",Swimming,8,7,1,0
