sport,Year,average_height,average_weight
Athletics,1896,174.19,69.15
Gymnastics,1896,163.11,72
Weightlifting,1896,178.33,91.33
Wrestling,1896,173.5,86
Athletics,1900,178.58,74.53
Fencing,1900,174,75
Gymnastics,1900,164,66
Rugby,1900,174.67,71.67
Swimming,1900,186,89
"Water Polo",1900,185,95
Athletics,1904,178.26,74.05
Boxing,1904,174,65.5
Gymnastics,1904,166.47,69.4
Lacrosse,1904,174,66.5
Swimming,1904,182.75,72.75
Tennis,1904,183,86
Tug-Of-War,1904,182.75,84.5
"Water Polo",1904,173,66
Weightlifting,1904,170,75
Wrestling,1904,165,64.5
Athletics,1906,180.07,74.7
Cycling,1906,178,67.58
Diving,1906,170,76
Fencing,1906,179.25,78.25
Gymnastics,1906,181.25,76.25
Swimming,1906,177.07,75.29
Tug-Of-War,1906,180.71,86.29
Weightlifting,1906,174,98
Wrestling,1906,178,81.67
Athletics,1908,178.19,73.74
Boxing,1908,163.5,63
Cycling,1908,174,66.38
Diving,1908,170,76
Football,1908,182,99
Gymnastics,1908,171.5,68.83
Hockey,1908,193,89
Motorboating,1908,181,77
Rowing,1908,181.33,72.67
Swimming,1908,175.5,73
Tug-Of-War,1908,183.38,99
"Water Polo",1908,181.17,84.67
Wrestling,1908,171.29,72.61
Athletics,1912,178.17,72.29
Diving,1912,170,76
Equestrianism,1912,172,63
Fencing,1912,180,82
Football,1912,174.3,73.7
Gymnastics,1912,176,73
Rowing,1912,180,76
Sailing,1912,176,82
Shooting,1912,179,109
Swimming,1912,168.75,68.5
Tennis,1912,188,84.5
"Water Polo",1912,182.5,89.75
Wrestling,1912,177.38,88.58
Athletics,1920,177.14,71.47
Boxing,1920,163.4,55
Cycling,1920,165.25,71.25
Diving,1920,169,68
Fencing,1920,180.93,75.79
"Figure Skating",1920,169.5,65.5
Football,1920,175.36,75.18
Gymnastics,1920,173.33,67.33
"Ice Hockey",1920,175.83,74
Rowing,1920,181.64,73.5
Rugby,1920,173.33,74.33
Sailing,1920,186,81
Swimming,1920,165.62,73.77
Tennis,1920,169.14,62.43
"Water Polo",1920,183,90.5
Weightlifting,1920,167,72.75
Wrestling,1920,172.17,77.46
"Art Competitions",1924,172,76
Athletics,1924,176.38,69.8
Boxing,1924,175.92,74.54
"Cross Country Skiing",1924,172,68.91
Cycling,1924,176,76
Diving,1924,169.67,62.67
Equestrianism,1924,173.14,66.14
Fencing,1924,175.11,72.22
"Figure Skating",1924,164.67,58.67
Football,1924,174.17,72.03
"Ice Hockey",1924,175.2,78.1
"Modern Pentathlon",1924,180.5,71
"Nordic Combined",1924,174,68.5
Rowing,1924,175.93,69.86
Rugby,1924,173.67,80.11
Shooting,1924,181.36,89.55
"Ski Jumping",1924,172,70
"Speed Skating",1924,169.5,64.5
Swimming,1924,165.89,71.89
Tennis,1924,177.83,70.67
"Water Polo",1924,183,90.5
Weightlifting,1924,169.5,73.17
Wrestling,1924,173.15,73.58
"Art Competitions",1928,164,93
Athletics,1928,176.76,69.99
Bobsleigh,1928,181.25,88
Boxing,1928,173.11,65.44
"Cross Country Skiing",1928,169.76,69.29
Cycling,1928,171.85,70.69
Equestrianism,1928,171,65.4
Fencing,1928,179.14,76.14
"Figure Skating",1928,164.75,58.75
Football,1928,173.53,72.19
Gymnastics,1928,166.97,64.1
"Ice Hockey",1928,175.86,75.86
"Modern Pentathlon",1928,176,67
"Nordic Combined",1928,169,72
Rowing,1928,182.64,78.14
Sailing,1928,184,90
Skeleton,1928,198,88
"Ski Jumping",1928,167.67,67.67
"Speed Skating",1928,171,69.43
Swimming,1928,181.2,83.4
"Water Polo",1928,189,95
Weightlifting,1928,171.22,80.56
Wrestling,1928,170.88,70.75
"Art Competitions",1932,175.25,79.25
Athletics,1932,176.73,70.48
Bobsleigh,1932,172.67,58.33
Boxing,1932,171,69.5
"Cross Country Skiing",1932,171.21,68.37
Cycling,1932,170.5,68.67
Fencing,1932,178.25,76.81
"Figure Skating",1932,161.67,54.33
Gymnastics,1932,168.72,61.22
"Ice Hockey",1932,174.42,75.17
"Modern Pentathlon",1932,178,72
"Nordic Combined",1932,170.33,65.67
Rowing,1932,181.55,77.55
Sailing,1932,169,63.5
"Ski Jumping",1932,166.67,62.67
Swimming,1932,172.71,66.43
Weightlifting,1932,168.75,73.38
Wrestling,1932,172.75,76.06
"Alpine Skiing",1936,165,61
"Art Competitions",1936,179,77
Athletics,1936,177.43,71
Basketball,1936,184.23,80.3
Bobsleigh,1936,176.67,65.33
Boxing,1936,172.57,66.07
Canoeing,1936,182.86,86
"Cross Country Skiing",1936,171.63,67.89
Cycling,1936,176.8,70.6
Equestrianism,1936,171.38,68.25
Fencing,1936,177.54,77.21
"Figure Skating",1936,160,52
Football,1936,173.1,71.5
Gymnastics,1936,165.51,60.81
Handball,1936,181,73.5
Hockey,1936,177,85
"Ice Hockey",1936,176.36,73.5
"Nordic Combined",1936,173.75,71.75
Rowing,1936,184.2,81.3
Sailing,1936,175.64,70.82
Shooting,1936,173.83,73.17
"Ski Jumping",1936,168.67,65.67
"Speed Skating",1936,171,75.33
Swimming,1936,174,72.71
Weightlifting,1936,169.17,82
Wrestling,1936,177,85.91
"Alpine Skiing",1948,169.5,64.1
"Art Competitions",1948,176,75
Athletics,1948,177.4,70.3
Basketball,1948,187.5,82.21
Bobsleigh,1948,188,92
Boxing,1948,172.5,70.15
Canoeing,1948,176.55,77.78
"Cross Country Skiing",1948,173.62,69.52
Cycling,1948,175.71,72.94
Diving,1948,163.6,53.6
Equestrianism,1948,172.25,65.94
Fencing,1948,175.11,73.77
"Figure Skating",1948,168.67,63
Football,1948,175.33,74
Gymnastics,1948,168.82,66.14
Hockey,1948,176.46,73.77
"Ice Hockey",1948,175.68,73.16
"Modern Pentathlon",1948,174.5,63.75
"Nordic Combined",1948,172.5,70
Rowing,1948,181.53,78.13
Sailing,1948,176.76,79.15
Shooting,1948,176.13,75.61
"Ski Jumping",1948,169,70.4
"Speed Skating",1948,175.67,71.33
Swimming,1948,179.83,78.83
"Water Polo",1948,184.75,85
Weightlifting,1948,170.12,78.19
Wrestling,1948,171.5,72.6
"Alpine Skiing",1952,173.52,67.2
Athletics,1952,176.41,70.32
Basketball,1952,190.02,84.71
Bobsleigh,1952,188,109
Boxing,1952,173.76,70.18
Canoeing,1952,175.81,72.62
"Cross Country Skiing",1952,172.29,65.65
Cycling,1952,175.62,72.69
Diving,1952,163.33,59
Equestrianism,1952,175.33,69.49
Fencing,1952,177.43,74.37
"Figure Skating",1952,167.5,57.75
Football,1952,174.5,72.24
Gymnastics,1952,164.7,60.67
Hockey,1952,175.65,72.58
"Ice Hockey",1952,177.8,74.6
"Modern Pentathlon",1952,175.67,68.94
"Nordic Combined",1952,173.8,69
Rowing,1952,182.18,79.23
Sailing,1952,176.38,79
Shooting,1952,174.63,77.4
"Ski Jumping",1952,173.56,66.11
"Speed Skating",1952,169.38,65.46
Swimming,1952,176.21,71.81
"Water Polo",1952,184.1,84.05
Weightlifting,1952,172.5,85.35
Wrestling,1952,171.3,72.61
"Alpine Skiing",1956,169.27,65.66
Athletics,1956,176.07,70.07
Basketball,1956,188.39,86.05
Bobsleigh,1956,177.48,81.26
Boxing,1956,173.67,71.32
Canoeing,1956,175.67,73.27
"Cross Country Skiing",1956,170.85,66.52
Cycling,1956,175.42,70.8
Diving,1956,163.28,57.59
Equestrianism,1956,175.23,69.44
Fencing,1956,177.29,72.83
"Figure Skating",1956,162.73,54.64
Football,1956,176.84,72.81
Gymnastics,1956,163.86,60.29
Hockey,1956,176.53,72.78
"Ice Hockey",1956,176.92,76.79
"Modern Pentathlon",1956,177.11,71.86
