Year,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals
1896,215,50,29,20
1900,1081,175,146,125
1904,1020,158,133,126
1906,968,125,95,81
1908,2343,276,239,232
1912,3870,325,310,295
1920,3431,460,400,309
1924,4400,310,307,272
1928,4129,264,247,266
1932,2260,243,231,221
1936,6767,336,343,322
1948,6093,316,323,312
1952,9026,341,331,345
1956,5758,341,334,342
1960,8964,347,340,355
1964,9376,402,402,393
1968,10315,419,407,417
1972,11809,472,453,482
1976,10423,505,501,514
1980,8745,528,531,542
1984,11339,562,547,573
1988,14530,602,597,633
1992,16335,658,654,708
1994,3153,109,109,111
1996,13750,601,604,626
1998,3600,145,145,150
2000,13815,663,660,680
2002,4105,161,156,159
2004,13440,663,660,677
2006,4381,176,175,175
2008,13597,671,667,710
2010,4398,174,171,171
2012,12914,632,629,679
2014,4888,201,197,197
2016,13685,664,655,703
