Year,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals
1896,99,50,29,20
1900,446,175,146,125
1904,417,158,133,126
1906,301,125,95,81
1908,747,276,239,232
1912,930,325,310,295
1920,1169,460,400,309
1924,769,264,269,236
1928,692,235,221,236
1932,607,212,202,193
1936,896,300,306,290
1948,819,275,275,269
1952,884,296,290,298
1956,868,290,286,292
1960,900,300,294,306
1964,1011,341,335,335
1968,1045,353,337,355
1972,1210,402,391,417
1976,1311,435,431,445
1980,1383,456,458,469
1984,1460,488,473,499
1988,1570,516,509,545
1992,1703,554,547,602
1996,1831,601,604,626
2000,2003,663,660,680
2004,2000,663,660,677
2008,2048,671,667,710
2012,1940,632,629,679
2016,2022,664,655,703
